,class,nIC50,logP,molecular_wt,havy_atom_count,hydrogen_acceptors,hydrogen_donors,rotatable_bonds,amide_bonds,ring_count,tpsa,hba,hbd,qed
33,active,6.698970004336019,3.459200000000002,240.30200000000002,18,2,0,4,0,2,26.3,2,0,0.7649198651947396
34,active,6.823908740944319,2.556520000000001,316.357,22,5,0,3,0,3,44.0,5,0,0.7452239218242064
35,inactive,5.714442690992226,1.960099999999999,505.4530000000002,35,5,4,0,0,6,120.85,5,4,0.1429548360728476
36,active,6.236572006437063,0.38980000000000187,750.7580000000003,54,15,7,12,3,6,267.84000000000003,15,7,0.04342544602009312
37,inactive,5.628932137728263,3.4015000000000026,349.858,24,4,2,8,0,2,58.56,4,2,0.717020146422754
38,inactive,5.798602875679548,-1.0956000000000004,862.7460000000005,62,18,12,9,0,8,347.96,18,12,0.09503768227902977
39,inactive,5.690369832574101,2.1839000000000004,353.201,20,6,1,3,1,3,76.88,6,1,0.9154115561060127
40,inactive,5.374687549038326,3.4175000000000013,436.3170000000001,27,7,1,6,1,2,111.39,7,1,0.7386563898795472
41,active,6.075720713938118,2.7950800000000013,249.33499999999998,17,3,0,2,0,1,57.93,3,0,0.7571618838863213
42,inactive,5.950781977329818,0.6859999999999999,245.267,17,6,0,2,0,3,79.03,6,0,0.6203802329415555
43,inactive,5.519993057042849,2.576800000000001,270.24,20,5,3,1,0,3,90.9,5,3,0.6318329361180623
44,active,6.853871964321762,0.6567999999999999,222.26900000000003,15,5,0,2,0,2,44.0,5,0,0.7487812423768543
45,inactive,5.552841968657781,2.3754,255.31699999999998,19,3,3,1,0,3,52.49,3,3,0.6857078628944854
46,active,6.4089353929735005,2.5704000000000002,209.299,13,5,2,2,0,2,37.81,5,2,0.7464667574765003
47,active,6.142667503568731,2.233199999999999,458.37500000000017,33,11,8,3,0,4,197.36999999999998,11,8,0.21150323672030336
48,inactive,5.413412695328245,1.7612999999999996,360.3180000000001,26,7,5,6,0,2,144.52,7,5,0.29764821037336514
49,inactive,5.3585258894959,1.1511999999999996,278.216,20,7,6,2,0,2,138.45000000000002,7,6,0.357575955658407
50,active,6.7447274948966935,0.8919000000000001,320.253,23,8,6,1,0,3,147.68,8,6,0.42444130876686637
51,inactive,5.609064892896621,3.124480000000001,317.71000000000004,17,6,0,0,0,2,55.98,6,0,0.5531418934186684
52,inactive,5.302770657240282,-1.0140999999999993,259.74,18,2,2,0,0,3,55.92,2,2,0.3087309063167155
53,inactive,5.826813731587726,3.296000000000001,437.55200000000025,32,9,3,8,0,5,111.02999999999999,9,3,0.4886206808210586
